feature_name,feature_importance,label
Education: Technological Qualified,26,0
Recidivism Day,24,0
Time in Jail,24,0
Widower,23,0
Education: Postgraduate Specialization,20,0
Jail: Combita,19,0
Education: Profesional Technician Qualified,19,0
Divorced,16,0
Jail: Esperanza de Guaduas,11,0
Jail: Villavicencio,11,0
Crime Severity Score,10,0
Jail: Tulua,10,0
Jail: Bucaramanga,10,0
Single,5,0
Education: Courses 10th to 11th,4,0
Union Libre,4,0
Education: Courses 1st to 5th,3,0
Education: Courses 6th to 9th,3,0
Separated,26,1
Jail: Esperanza de Guaduas,18,1
Jail: Bucaramanga,17,1
Jail: Combita,17,1
Time in Jail,11,1
Jail: Tulua,11,1
Jail: Villavicencio,10,1
Widower,6,1
Education: Technological Qualified,6,1
Marital status undefined,1,1
Time in Jail,167,2
Jail: Tulua,102,2
Jail: Villavicencio,89,2
Jail: Bucaramanga,88,2
Jail: Combita,88,2
Jail: Esperanza de Guaduas,87,2
Crime Severity Score,44,2
Marital status undefined,10,2
Widower,6,2
Recidivism Day,4,2
Union Libre,1,2
Crime Severity Score,31,3
Separated,25,3
Time in Jail,22,3
Jail: Combita,21,3
Education: Technician Qualified,21,3
Jail: Tulua,20,3
Married,16,3
Profesional undergrad,16,3
Jail: Villavicencio,10,3
Education: Technological Qualified,9,3
Jail: Bucaramanga,8,3
Jail: Esperanza de Guaduas,7,3
Recidivism Day,4,3
Marital status undefined,1,3
Crime Severity Score,51,4
Education: Technician Qualified,46,4
Jail: Bucaramanga,39,4
Profesional undergrad,37,4
Married,30,4
Separated,19,4
Jail: Esperanza de Guaduas,15,4
Jail: Villavicencio,13,4
Jail: Combita,7,4
Jail: Tulua,6,4
Time in Jail,6,4
Education: Technological Qualified,4,4
