feature_name,feature_importance,label
POP,45,0
HEALTHINDEX,38,0
ANIO_NACIMIENTO,35,0
EDUC_LEVEL_technologicalqualifiedknowing,27,0
MARITALSTATUS_WIDOWER,24,0
MSCH,24,0
timejail_day,23,0
COUNTRY_REPUBLICOFCOLOMBIA,23,0
INCINDEX,22,0
JAILNAME_EPMSCIPIALES,22,0
MADRE_GESTANTE,22,0
EDUC_LEVEL_Postgraduatespecialization,21,0
recidivism_day,21,0
JAILNAME_EPMSCMANIZALES,19,0
EDUC_LEVEL_Profesionaltechnicianqualifiedknowing,18,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEACONDENADOS,17,0
JAILNAME_EPMSCSANTAMARTA,17,0
JAILNAME_EPMSCCAICEDONIA,16,0
JAILNAME_CMSSANTAFEDEANTIOQUIA,16,0
ESCH,15,0
JAILNAME_EPMSCMONTERIA,15,0
JAILNAME_EPMSCVELEZ,15,0
JAILNAME_EPMSCGRANADA,15,0
JAILNAME_EPMSCISTMINA,15,0
JAILNAME_EPCLAESPERANZADEGUADUAS,15,0
JAILNAME_EPMSCAGUACHICA,15,0
MARITALSTATUS_DIVORCED,15,0
JAILNAME_EPMSCCARTAGENA,14,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDIRMUJERES,14,0
JAILNAME_EPMSCSOGAMOSO,14,0
JAILNAME_RMMANIZALES,14,0
JAILNAME_EPAMSCASCOMBITA,14,0
JAILNAME_CPMSBUCARAMANGAERE,14,0
JAILNAME_EPAMSCASVALLEDUPARERM,14,0
GNIC,14,0
SEVERITY,14,0
JAILNAME_EPAMSCASPOPAYANERE,13,0
JAILNAME_EPMSCVILLAVICENCIO,13,0
JAILNAME_EPCCOMBITAMEDIANASEGURIDADBARNE,13,0
JAILNAME_EPMSCVALLEDUPAR,13,0
JAILNAME_EPMSCBARRANQUILLA,13,0
JAILNAME_CAMISACACIAS,13,0
JAILNAME_CMSBARRANQUILLA,12,0
JAILNAME_EPMSCCALIERE,12,0
JAILNAME_ECBOGOTA,12,0
JAILNAME_CPAMSPALMIRA,12,0
JAILNAME_EPMSCDUITAMA,12,0
JAILNAME_EPMSCGIRARDOT,12,0
JAILNAME_EPMSCTIERRAALTA,12,0
JAILNAME_EPMSCMAGANGUE,12,0
JAILNAME_EPMSCMEDELLIN,12,0
JAILNAME_EPMSCROLDANILLO,12,0
JAILNAME_EPMSCFLORENCIA,11,0
JAILNAME_EPMSCBARRANCABERMEJA,11,0
JAILNAME_EPMSCRMPASTO,11,0
JAILNAME_CPMSESPINAL,11,0
LIFEXP,11,0
JAILNAME_EPMSCSINCELEJO,11,0
JAILNAME_EPMSCACACIAS,11,0
JAILNAME_EPMSCSANANDRES,11,0
JAILNAME_EPMSCSANTAROSADEVITERBOJYPMUJERES,11,0
JAILNAME_EPMSCPAMPLONA,11,0
JAILNAME_EPMSCCALARCA,11,0
JAILNAME_EPCYOPAL,10,0
JAILNAME_EPMSCSANTANDERDEQUILICHAO,10,0
JAILNAME_CPMSPUERTOTRIUNFO,10,0
JAILNAME_EPAMSGIRON,10,0
JAILNAME_EPAMSLADORADA,10,0
JAILNAME_CPMSTULUA,10,0
JAILNAME_EPMSCZIPAQUIRA,10,0
JAILNAME_EPMSCPITALITO,10,0
JAILNAME_EPMSSANGIL,10,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTACONDENADOS,10,0
JAILNAME_EPMSCBUGA,10,0
JAILNAME_CPMSTUNJA,10,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDICONDENADOS,10,0
JAILNAME_EPMSCARMENIA,10,0
JAILNAME_EPMSCQUIBDO,10,0
JAILNAME_EPMSCBUENAVENTURA,10,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALSINDICADOS,9,0
JAILNAME_CPMSCHIQUINQUIRA,9,0
REGIONALNME_ORIENTE,9,0
JAILNAME_EPLASHELICONIASDEFLORENCIA,9,0
JAILNAME_CPMSFUSAGASUGA,9,0
JAILNAME_EPMSCCARTAGO,9,0
JAILNAME_EPMSCSOCORRO,9,0
JAILNAME_EPMSCNEIVA,9,0
JAILNAME_EPMSCGARZON,9,0
JAILNAME_EPMSCPEREIRAERE,9,0
JAILNAME_EPMSCHONDA,8,0
JAILNAME_EPMSCAGUADAS,8,0
JAILNAME_EPMSCARAUCA,8,0
JAILNAME_EPMSCBOLIVARCAUCA,8,0
JAILNAME_RMBUCARAMANGA,8,0
JAILNAME_EPCJAMUNDI,8,0
JAILNAME_EPMSCAPARTADO,8,0
JAILNAME_EPMSCPUERTOBOYACA,8,0
JAILNAME_ECSABANALARGAERE,8,0
year,8,0
EDINDEX,8,0
JAILNAME_COMPLEJOIBAGUEPICALEA,8,0
JAILNAME_EPMSRAMIRIQUI,7,0
JAILNAME_CPMSCHOCONTA,7,0
JAILNAME_EPMSCANSERMA,7,0
JAILNAME_EPMSCCAQUEZA,7,0
JAILNAME_EPMSCCUCUTAERE,7,0
JAILNAME_EPMSCLAPLATA,7,0
JAILNAME_EPMSCLIBANO,7,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTASINDICADOS,7,0
JAILNAME_EPMSCOCANA,7,0
JAILNAME_CMPSJERICO,7,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEAMUJERES,7,0
JAILNAME_EPMSCSALAMINA,7,0
JAILNAME_CPMSLAMESA,7,0
JAILNAME_EPMSCSEVILLA,7,0
JAILNAME_RMDEJAMUNDI,7,0
JAILNAME_RMPOPAYAN,7,0
JAILNAME_EPMSCSANTABARBARA,6,0
JAILNAME_EPMSCMOCOA,6,0
JAILNAME_EPMSCSONSON,6,0
DELITO_COMP_AGRA_CALF_THEFT,6,0
MARITALSTATUS_SINGLE,6,0
JAILNAME_EPMSCELBANCO,6,0
JAILNAME_RMARMENIA,6,0
JAILNAME_EPMSCBOLIVARANTIOQUIA,6,0
JAILNAME_EPMSCPUERTOBERRIO,6,0
JAILNAME_CPMSSANTODOMINGO,6,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTAMUJERES,6,0
JAILNAME_EPMSCYARUMAL,5,0
JAILNAME_EPMSCANDES,5,0
JAILNAME_RMPEREIRA,5,0
JAILNAME_EPMSCRIOSUCIO,5,0
JAILNAME_CPMSUBATE,5,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALMUJERES,5,0
MARITALSTATUS_FREEUNION,5,0
JAILNAME_EPMSCPUERTOTEJADA,5,0
EDUC_LEVEL_Fourthcycle,5,0
JAILNAME_EPMSCVILLETA,5,0
JAILNAME_EPMSCTAMESIS,5,0
JAILNAME_EPMSCSANTAROSADECABAL,5,0
JAILNAME_EPMSCMALAGA,5,0
JAILNAME_EPMSCCHAPARRAL,4,0
JAILNAME_EPMSCTUMACO,4,0
ACTIVIDADES_TRABAJO,4,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODEBOGOTA,4,0
JAILNAME_RMPEDREGALMEDELLIN,4,0
JAILNAME_EPMSCLACEJA,3,0
SHDI,3,0
JAILNAME_CPMSSANVICENTEDECHUCURI,3,0
JAILNAME_EPMSCPACORA,3,0
JAILNAME_CPAMSLAPAZ,3,0
JAILNAME_EPCGUAMO,3,0
JAILNAME_EPMSCELBORDO,3,0
JAILNAME_EPMSCTUQUERRES,3,0
REGIONALNME_NOROESTE,3,0
JAILNAME_EPMSCCAUCASIA,3,0
DELITO_COMP_AGRA_CONCERTFORDELINQUIR,3,0
JAILNAME_CPMSGARAGOA,3,0
JAILNAME_CPMSMONIQUIRA,3,0
EDUC_LEVEL_Thirdcycle,3,0
JAILNAME_CPMSMELGAR,3,0
JAILNAME_CPMSPAZDEARIPORO,2,0
JAILNAME_EPMSCTITIRIBI,2,0
JAILNAME_EPMSCPENSILVANIA,2,0
JAILNAME_EPMSCSANTAROSADEOSOS,2,0
JAILNAME_EPMSCLAUNION,2,0
JAILNAME_EPMSCSILVIA,2,0
EDUC_LEVEL_Secondcycle,2,0
ACTIVIDADES_ESTUDIO,2,0
JAILNAME_ECARMEROGUAYABAL,1,0
DELITO_COMP_AGRA_HOMICIDE,1,0
JAILNAME_RMBOGOTA,1,0
EDUC_LEVEL_Profesionalundergrad,1,0
DELITO_COMP_OTHER,1,0
ACTIVIDADES_ENSEANZA,1,0
JAILNAME_EPMSCFRESNO,1,0
JAILNAME_ERECOROZAL,0,0
HIJOS_MENORES,0,0
REGIONALNME_VIEJOCALDAS,0,0
REGIONALNME_OCCIDENTE,0,0
REGIONALNME_NORTE,0,0
REGIONALNME_CENTRAL,0,0
JAILNAME_RMMEDELLIN,0,0
JAILNAME_RMPICALEA,0,0
DISCAPACIDAD,0,0
JAILNAME_RMGUAMO,0,0
JAILNAME_CPMSPURIFICACION,0,0
JAILNAME_RMCUCUTA,0,0
JAILNAME_RMCALI,0,0
DELITO_COMP_AGRA_THEFT,0,0
MADRE_LACTANTE,0,0
JAILNAME_ECPEDREGALMEDELLIN,0,0
ADULTO_MAYOR,0,0
COUNTRY_VENEZUELA,0,0
DELITO_COMP_MANUFACTURINGTRAFFICORSUPPORTOFNARCOTICS,0,0
DELITO_COMP_CALF_THEFT,0,0
EDUC_LEVEL_Firstcycle,0,0
JAILNAME_EPMSCIBAGUEERE,0,0
MARITALSTATUS_MARRIED,0,0
JAILNAME_EPMSCGUATEQUE,0,0
MARITALSTATUS_RELIGIOUS,0,0
MARITALSTATUS_SEPARATED,0,0
MARITALSTATUS_UNDEFINED,0,0
JAILNAME_EPMSCFACATATIVA,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDISINDICADOS,0,0
DELITO_COMP_CONCERTFORDELINQUIR,0,0
JAILNAME_EPMSCCIENAGA,0,0
EDUC_LEVEL_Illiterate,0,0
JAILNAME_EPMSCCALOTO,0,0
EDUC_LEVEL_MasterDegree,0,0
EDUC_LEVEL_Postgraduatecourse,0,0
EDUC_LEVEL_technicianqualifiedknowing,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEASINDICADOS,0,0
DELITO_COMP_TRAFFICMANUFACTUREANDPORTIONOFWEAPONSANDAMMUNITIONSFORTHEPRIVATIVEUSEOFTHEARMEDFORCES,0,0
JAILNAME_EPMSZAPATOCA,0,0
JAILNAME_EPMSCLETICIA,0,0
DELITO_COMP_TRAFFICMANUFACTUREANDPORTIONOFFIREARMSORAMMUNITIONS,0,0
DELITO_COMP_FOODABSENCE,0,0
DELITO_COMP_HOMICIDE,0,0
DELITO_COMP_INTRAFAMILYVIOLENCE,0,0
JAILNAME_CPMSGACHETA,0,0
DELITO_COMP_MANUFACTURETRAFFICPORTIONORTENUREOFFIREARMSACCESSORIESPARTSORAMMUNITIONS,0,0
JAILNAME_EPMSCRIOHACHA,0,0
COUNTRY_OTHER,0,0
DELITO_COMP_PERSONALINJURIES,0,0
DELITO_COMP_RECEIVING,0,0
DELITO_COMP_TENT_AGRA_CALF_THEFT,0,0
DELITO_COMP_TENT_AGRA_THEFT,0,0
DELITO_COMP_TENT_CALF_THEFT,0,0
GENERO,0,0
DELITO_COMP_TENT_HOMICIDE,0,0
DELITO_COMP_THEFT,0,0
JAILNAME_EPMSCMANZANARES,0,0
POP,65,1
HEALTHINDEX,54,1
MSCH,42,1
EDINDEX,36,1
MARITALSTATUS_SEPARATED,33,1
ESCH,29,1
GENERO,29,1
LIFEXP,27,1
JAILNAME_EPAMSLADORADA,25,1
JAILNAME_EPMSCCARTAGO,23,1
SHDI,22,1
INCINDEX,22,1
JAILNAME_EPMSCBUENAVENTURA,22,1
JAILNAME_EPMSCARAUCA,21,1
JAILNAME_EPMSCIPIALES,21,1
JAILNAME_EPMSCMEDELLIN,21,1
year,21,1
JAILNAME_EPMSCSANTANDERDEQUILICHAO,20,1
JAILNAME_EPMSCANDES,19,1
JAILNAME_EPMSCAPARTADO,19,1
REGIONALNME_VIEJOCALDAS,19,1
JAILNAME_EPAMSCASVALLEDUPARERM,18,1
JAILNAME_EPMSCLACEJA,18,1
