feature_name,feature_importance,label
ANIO_NACIMIENTO,28,0
EDUC_LEVEL_technologicalqualifiedknowing,26,0
recidivism_day,24,0
timejail_day,24,0
MADRE_GESTANTE,24,0
COUNTRY_REPUBLICOFCOLOMBIA,24,0
MARITALSTATUS_WIDOWER,23,0
JAILNAME_RMBOGOTA,21,0
JAILNAME_EPMSCPEREIRAERE,21,0
EDUC_LEVEL_Postgraduatespecialization,20,0
JAILNAME_EPCCOMBITAMEDIANASEGURIDADBARNE,19,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDIRMUJERES,19,0
EDUC_LEVEL_Profesionaltechnicianqualifiedknowing,19,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODEBOGOTA,17,0
year,17,0
MARITALSTATUS_DIVORCED,16,0
JAILNAME_EPMSCISTMINA,16,0
JAILNAME_EPMSCSOGAMOSO,16,0
JAILNAME_EPMSCCALIERE,14,0
JAILNAME_EPMSCIPIALES,14,0
REGIONALNME_ORIENTE,13,0
JAILNAME_CMSSANTAFEDEANTIOQUIA,13,0
JAILNAME_EPMSCVELEZ,13,0
JAILNAME_EPMSCMANIZALES,13,0
JAILNAME_CPAMSPALMIRA,13,0
JAILNAME_EPMSCAGUACHICA,13,0
JAILNAME_EPMSCSANTAROSADECABAL,12,0
JAILNAME_CAMISACACIAS,12,0
JAILNAME_ECBOGOTA,12,0
JAILNAME_EPAMSCASVALLEDUPARERM,12,0
JAILNAME_CPMSFUSAGASUGA,12,0
JAILNAME_EPMSCCHAPARRAL,11,0
JAILNAME_EPAMSCASPOPAYANERE,11,0
JAILNAME_EPMSCSANANDRES,11,0
JAILNAME_EPCLAESPERANZADEGUADUAS,11,0
JAILNAME_EPMSCPITALITO,11,0
JAILNAME_EPMSCNEIVA,11,0
JAILNAME_EPMSCARMENIA,11,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDICONDENADOS,11,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEACONDENADOS,11,0
JAILNAME_EPMSCMAGANGUE,11,0
JAILNAME_EPMSCLIBANO,11,0
JAILNAME_EPMSCVILLAVICENCIO,11,0
SEVERITY,10,0
JAILNAME_CPMSMELGAR,10,0
JAILNAME_COMPLEJOIBAGUEPICALEA,10,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTACONDENADOS,10,0
JAILNAME_CPMSTULUA,10,0
JAILNAME_CPMSBUCARAMANGAERE,10,0
JAILNAME_EPMSCCUCUTAERE,10,0
JAILNAME_EPMSCMEDELLIN,10,0
JAILNAME_EPMSCVALLEDUPAR,10,0
JAILNAME_EPMSCSINCELEJO,10,0
REGIONALNME_NOROESTE,10,0
JAILNAME_EPMSCMONTERIA,10,0
JAILNAME_EPMSCTIERRAALTA,10,0
JAILNAME_EPMSCGIRARDOT,10,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTASINDICADOS,9,0
JAILNAME_EPCGUAMO,9,0
JAILNAME_CPMSCHOCONTA,9,0
JAILNAME_EPMSCSANTAMARTA,9,0
JAILNAME_EPMSCFLORENCIA,9,0
JAILNAME_EPMSCVILLETA,9,0
JAILNAME_EPAMSCASCOMBITA,9,0
JAILNAME_EPAMSLADORADA,9,0
JAILNAME_EPLASHELICONIASDEFLORENCIA,9,0
JAILNAME_CPMSPAZDEARIPORO,9,0
JAILNAME_EPCYOPAL,9,0
JAILNAME_EPMSCBARRANQUILLA,9,0
JAILNAME_EPMSRAMIRIQUI,9,0
JAILNAME_EPMSCCAICEDONIA,9,0
JAILNAME_EPMSCCARTAGO,9,0
JAILNAME_EPMSCGARZON,9,0
JAILNAME_EPMSCGRANADA,9,0
JAILNAME_EPMSCCALARCA,9,0
JAILNAME_EPMSCBUENAVENTURA,9,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALMUJERES,9,0
JAILNAME_EPMSCMOCOA,8,0
JAILNAME_EPMSCTUQUERRES,8,0
JAILNAME_EPMSCPUERTOTEJADA,8,0
JAILNAME_EPMSCTUMACO,8,0
JAILNAME_EPMSCRMPASTO,8,0
JAILNAME_EPMSCCAQUEZA,8,0
JAILNAME_EPMSCCARTAGENA,8,0
JAILNAME_EPMSCFRESNO,8,0
JAILNAME_EPMSCDUITAMA,8,0
JAILNAME_EPMSCAGUADAS,8,0
JAILNAME_CPAMSLAPAZ,8,0
JAILNAME_CPMSCHIQUINQUIRA,8,0
JAILNAME_CPMSESPINAL,8,0
DELITO_COMP_AGRA_CALF_THEFT,8,0
JAILNAME_EPMSCBARRANCABERMEJA,7,0
JAILNAME_EPMSCELBORDO,7,0
JAILNAME_CMSBARRANQUILLA,7,0
JAILNAME_EPAMSGIRON,7,0
JAILNAME_CPMSMONIQUIRA,7,0
JAILNAME_EPMSCSANTAROSADEVITERBOJYPMUJERES,7,0
JAILNAME_EPMSCACACIAS,7,0
JAILNAME_EPMSCBUGA,7,0
JAILNAME_CPMSTUNJA,7,0
JAILNAME_EPMSCRIOSUCIO,7,0
JAILNAME_EPMSCELBANCO,7,0
JAILNAME_RMARMENIA,6,0
JAILNAME_EPMSCCAUCASIA,6,0
JAILNAME_EPMSCBOLIVARCAUCA,6,0
JAILNAME_EPMSCZIPAQUIRA,6,0
JAILNAME_EPMSCARAUCA,6,0
DELITO_COMP_AGRA_CONCERTFORDELINQUIR,6,0
JAILNAME_EPMSCHONDA,6,0
JAILNAME_EPMSCSANTANDERDEQUILICHAO,6,0
JAILNAME_EPMSCSANTAROSADEOSOS,6,0
JAILNAME_EPMSCLAUNION,6,0
JAILNAME_EPMSCSALAMINA,6,0
JAILNAME_EPMSCSOCORRO,6,0
JAILNAME_EPMSCPUERTOBOYACA,6,0
JAILNAME_CPMSGARAGOA,6,0
JAILNAME_ECARMEROGUAYABAL,6,0
JAILNAME_EPMSSANGIL,6,0
JAILNAME_CPMSPUERTOTRIUNFO,6,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALSINDICADOS,6,0
JAILNAME_EPCJAMUNDI,6,0
MARITALSTATUS_SINGLE,5,0
JAILNAME_CPMSUBATE,5,0
JAILNAME_EPMSCQUIBDO,5,0
JAILNAME_EPMSCSONSON,5,0
JAILNAME_EPMSCLAPLATA,5,0
JAILNAME_EPMSCPACORA,5,0
JAILNAME_EPMSCPAMPLONA,5,0
JAILNAME_EPMSCSILVIA,5,0
JAILNAME_EPMSCANSERMA,5,0
JAILNAME_EPMSCFACATATIVA,5,0
JAILNAME_RMPOPAYAN,5,0
JAILNAME_EPMSCAPARTADO,5,0
JAILNAME_RMMANIZALES,5,0
JAILNAME_RMDEJAMUNDI,5,0
JAILNAME_EPMSCYARUMAL,5,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEAMUJERES,5,0
JAILNAME_RMBUCARAMANGA,5,0
JAILNAME_EPMSCTAMESIS,4,0
JAILNAME_CPMSLAMESA,4,0
JAILNAME_CPMSSANTODOMINGO,4,0
JAILNAME_EPMSCLACEJA,4,0
JAILNAME_EPMSCROLDANILLO,4,0
JAILNAME_CPMSPURIFICACION,4,0
JAILNAME_EPMSCBOLIVARANTIOQUIA,4,0
JAILNAME_EPMSCSEVILLA,4,0
EDUC_LEVEL_Fourthcycle,4,0
MARITALSTATUS_FREEUNION,4,0
JAILNAME_EPMSCOCANA,4,0
JAILNAME_EPMSCANDES,4,0
JAILNAME_RMPEREIRA,4,0
JAILNAME_EPMSCPENSILVANIA,4,0
JAILNAME_EPMSCSANTABARBARA,4,0
JAILNAME_RMPEDREGALMEDELLIN,3,0
ACTIVIDADES_TRABAJO,3,0
JAILNAME_EPMSCPUERTOBERRIO,3,0
JAILNAME_CPMSGACHETA,3,0
EDUC_LEVEL_Secondcycle,3,0
JAILNAME_EPMSCTITIRIBI,3,0
EDUC_LEVEL_Thirdcycle,3,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTAMUJERES,2,0
JAILNAME_EPMSCRIOHACHA,2,0
DELITO_COMP_AGRA_HOMICIDE,2,0
JAILNAME_CMPSJERICO,2,0
ACTIVIDADES_ESTUDIO,1,0
REGIONALNME_VIEJOCALDAS,1,0
JAILNAME_CPMSSANVICENTEDECHUCURI,1,0
JAILNAME_EPMSCMALAGA,1,0
DELITO_COMP_CALF_THEFT,1,0
JAILNAME_ECSABANALARGAERE,1,0
JAILNAME_EPMSCGUATEQUE,1,0
JAILNAME_EPMSCIBAGUEERE,1,0
JAILNAME_ECPEDREGALMEDELLIN,0,0
GENERO,0,0
JAILNAME_EPMSCCALOTO,0,0
DELITO_COMP_INTRAFAMILYVIOLENCE,0,0
JAILNAME_ERECOROZAL,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEASINDICADOS,0,0
ADULTO_MAYOR,0,0
DELITO_COMP_CONCERTFORDELINQUIR,0,0
JAILNAME_RMCALI,0,0
JAILNAME_RMCUCUTA,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDISINDICADOS,0,0
JAILNAME_RMGUAMO,0,0
JAILNAME_RMMEDELLIN,0,0
DELITO_COMP_FOODABSENCE,0,0
HIJOS_MENORES,0,0
DELITO_COMP_MANUFACTURETRAFFICPORTIONORTENUREOFFIREARMSACCESSORIESPARTSORAMMUNITIONS,0,0
JAILNAME_EPMSZAPATOCA,0,0
DISCAPACIDAD,0,0
JAILNAME_RMPICALEA,0,0
MADRE_LACTANTE,0,0
REGIONALNME_CENTRAL,0,0
DELITO_COMP_HOMICIDE,0,0
REGIONALNME_NORTE,0,0
REGIONALNME_OCCIDENTE,0,0
COUNTRY_VENEZUELA,0,0
MARITALSTATUS_MARRIED,0,0
ACTIVIDADES_ENSEANZA,0,0
DELITO_COMP_OTHER,0,0
MARITALSTATUS_RELIGIOUS,0,0
MARITALSTATUS_SEPARATED,0,0
MARITALSTATUS_UNDEFINED,0,0
JAILNAME_EPMSCMANZANARES,0,0
DELITO_COMP_AGRA_THEFT,0,0
EDUC_LEVEL_Firstcycle,0,0
