feature_name,feature_importance,label
establecimiento,296,0
edad,222,0
nivel_educativo,49,0
estado_ingreso,8,0
delito_VIOLENCIAINTRAFAMILIAR,4,0
reconocimiento_etnico,2,0
delito_FABRICACIONTRAFICOYPORTEDEARMASDEFUEGOOMUNICIONES,1,0
delito_CONCIERTOPARADELINQUIR,1,0
delito_FABRICACINTRFICOPORTEOTENENCIADEARMASDEFUEGOACCESORIOSPARTESOMUNICIONES,1,0
hijos_menores,1,0
delito_EXTORSION,1,0
diversidad_sexual,1,0
agravado_2,1,0
delito_TRAFICOFABRICACIONOPORTEDEESTUPEFACIENTES,0,0
delito_OTRO,0,0
tentativa_2,0,0
delito_LESIONESPERSONALES,0,0
delito_HURTO,0,0
delito_HOMICIDIO,0,0
genero,0,0
discapacidad,0,0
delito_FABRICACIONTRAFICOYPORTEDEARMASYMUNICIONESDEUSOPRIVATIVODELASFUERZASARMADAS,0,0
adulto_mayor,0,0
nacionalidad,0,0
madre_lactante,0,0
madre_gestante,0,0
actividades_enseanza,0,0
actividades_trabajo,0,0
actividades_estudio,0,0
extranjero,0,0
estado_civil,0,0
calificado_2,0,0
edad,2,1
estado_civil,2,1
establecimiento,2,1
diversidad_sexual,1,1
delito_LESIONESPERSONALES,0,1
delito_FABRICACIONTRAFICOYPORTEDEARMASYMUNICIONESDEUSOPRIVATIVODELASFUERZASARMADAS,0,1
delito_FABRICACIONTRAFICOYPORTEDEARMASDEFUEGOOMUNICIONES,0,1
delito_FABRICACINTRFICOPORTEOTENENCIADEARMASDEFUEGOACCESORIOSPARTESOMUNICIONES,0,1
delito_HOMICIDIO,0,1
delito_HURTO,0,1
genero,0,1
delito_OTRO,0,1
delito_CONCIERTOPARADELINQUIR,0,1
delito_TRAFICOFABRICACIONOPORTEDEESTUPEFACIENTES,0,1
delito_VIOLENCIAINTRAFAMILIAR,0,1
tentativa_2,0,1
agravado_2,0,1
delito_EXTORSION,0,1
discapacidad,0,1
adulto_mayor,0,1
nacionalidad,0,1
madre_lactante,0,1
madre_gestante,0,1
hijos_menores,0,1
actividades_enseanza,0,1
actividades_trabajo,0,1
actividades_estudio,0,1
estado_ingreso,0,1
extranjero,0,1
reconocimiento_etnico,0,1
nivel_educativo,0,1
calificado_2,0,1
nivel_educativo,2,2
edad,2,2
establecimiento,1,2
agravado_2,1,2
delito_LESIONESPERSONALES,0,2
delito_FABRICACIONTRAFICOYPORTEDEARMASYMUNICIONESDEUSOPRIVATIVODELASFUERZASARMADAS,0,2
delito_FABRICACIONTRAFICOYPORTEDEARMASDEFUEGOOMUNICIONES,0,2
delito_FABRICACINTRFICOPORTEOTENENCIADEARMASDEFUEGOACCESORIOSPARTESOMUNICIONES,0,2
delito_HOMICIDIO,0,2
delito_HURTO,0,2
genero,0,2
delito_CONCIERTOPARADELINQUIR,0,2
delito_OTRO,0,2
delito_TRAFICOFABRICACIONOPORTEDEESTUPEFACIENTES,0,2
delito_VIOLENCIAINTRAFAMILIAR,0,2
tentativa_2,0,2
delito_EXTORSION,0,2
discapacidad,0,2
adulto_mayor,0,2
nacionalidad,0,2
madre_lactante,0,2
madre_gestante,0,2
hijos_menores,0,2
actividades_enseanza,0,2
actividades_trabajo,0,2
actividades_estudio,0,2
estado_ingreso,0,2
extranjero,0,2
diversidad_sexual,0,2
reconocimiento_etnico,0,2
estado_civil,0,2
calificado_2,0,2
establecimiento,378,3
edad,323,3
estado_civil,13,3
nivel_educativo,9,3
reconocimiento_etnico,8,3
estado_ingreso,6,3
delito_FABRICACINTRFICOPORTEOTENENCIADEARMASDEFUEGOACCESORIOSPARTESOMUNICIONES,3,3
delito_HURTO,3,3
delito_TRAFICOFABRICACIONOPORTEDEESTUPEFACIENTES,3,3
delito_VIOLENCIAINTRAFAMILIAR,2,3
delito_CONCIERTOPARADELINQUIR,2,3
genero,2,3
actividades_trabajo,2,3
delito_FABRICACIONTRAFICOYPORTEDEARMASDEFUEGOOMUNICIONES,2,3
actividades_estudio,2,3
delito_OTRO,1,3
nacionalidad,1,3
delito_LESIONESPERSONALES,0,3
tentativa_2,0,3
agravado_2,0,3
delito_HOMICIDIO,0,3
discapacidad,0,3
delito_FABRICACIONTRAFICOYPORTEDEARMASYMUNICIONESDEUSOPRIVATIVODELASFUERZASARMADAS,0,3
delito_EXTORSION,0,3
adulto_mayor,0,3
madre_lactante,0,3
madre_gestante,0,3
