feature_name,feature_importance,label
timejail_day,1355,0
ANIO_NACIMIENTO,1096,0
SEVERITY,746,0
year,575,0
recidivism_day,247,0
EDUC_LEVEL_Secondcycle,138,0
EDUC_LEVEL_technologicalqualifiedknowing,135,0
EDUC_LEVEL_Fourthcycle,103,0
MARITALSTATUS_FREEUNION,101,0
EDUC_LEVEL_Thirdcycle,98,0
COUNTRY_REPUBLICOFCOLOMBIA,97,0
MADRE_GESTANTE,96,0
MARITALSTATUS_WIDOWER,77,0
JAILNAME_EPMSCISTMINA,70,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODEBOGOTA,66,0
EDUC_LEVEL_Postgraduatespecialization,66,0
JAILNAME_CMSSANTAFEDEANTIOQUIA,64,0
MARITALSTATUS_SINGLE,64,0
DELITO_COMP_AGRA_CONCERTFORDELINQUIR,63,0
REGIONALNME_NOROESTE,56,0
EDUC_LEVEL_Profesionaltechnicianqualifiedknowing,56,0
JAILNAME_EPMSCCALIERE,55,0
JAILNAME_ECBOGOTA,55,0
ACTIVIDADES_ENSEANZA,53,0
MARITALSTATUS_DIVORCED,52,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTACONDENADOS,51,0
JAILNAME_RMBOGOTA,50,0
JAILNAME_EPMSCMEDELLIN,50,0
JAILNAME_EPMSCNEIVA,49,0
JAILNAME_EPCLAESPERANZADEGUADUAS,48,0
JAILNAME_EPMSCSINCELEJO,48,0
JAILNAME_EPCCOMBITAMEDIANASEGURIDADBARNE,48,0
JAILNAME_CPAMSPALMIRA,48,0
JAILNAME_EPMSCPEREIRAERE,47,0
JAILNAME_EPAMSCASPOPAYANERE,47,0
JAILNAME_CPMSTULUA,47,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDIRMUJERES,47,0
JAILNAME_CPMSBUCARAMANGAERE,47,0
JAILNAME_EPMSCMANIZALES,47,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEACONDENADOS,46,0
JAILNAME_EPMSCVALLEDUPAR,46,0
JAILNAME_CMSBARRANQUILLA,46,0
JAILNAME_CAMISACACIAS,46,0
JAILNAME_EPMSCVILLAVICENCIO,46,0
JAILNAME_EPCYOPAL,46,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDICONDENADOS,46,0
JAILNAME_EPMSCIPIALES,46,0
JAILNAME_EPMSCRMPASTO,46,0
JAILNAME_EPMSCCARTAGENA,45,0
JAILNAME_EPMSCBUGA,45,0
JAILNAME_EPMSCBARRANQUILLA,45,0
JAILNAME_CPMSUBATE,45,0
JAILNAME_EPMSCMONTERIA,44,0
JAILNAME_EPMSCACACIAS,44,0
JAILNAME_EPMSCSANTAMARTA,44,0
JAILNAME_EPAMSGIRON,44,0
JAILNAME_EPMSCGIRARDOT,43,0
JAILNAME_RMBUCARAMANGA,43,0
JAILNAME_EPLASHELICONIASDEFLORENCIA,43,0
JAILNAME_RMPEREIRA,43,0
JAILNAME_COMPLEJOIBAGUEPICALEA,43,0
DELITO_COMP_AGRA_CALF_THEFT,43,0
JAILNAME_EPMSCPITALITO,43,0
JAILNAME_EPMSCTIERRAALTA,43,0
JAILNAME_EPMSCCALARCA,43,0
JAILNAME_EPMSCOCANA,42,0
JAILNAME_EPMSCARMENIA,42,0
JAILNAME_EPMSCFLORENCIA,42,0
JAILNAME_CPMSPAZDEARIPORO,42,0
JAILNAME_EPMSCBUENAVENTURA,41,0
JAILNAME_CPMSLAMESA,41,0
JAILNAME_RMMANIZALES,41,0
JAILNAME_EPMSCSOGAMOSO,41,0
JAILNAME_EPAMSLADORADA,41,0
JAILNAME_EPMSCSANTANDERDEQUILICHAO,41,0
JAILNAME_EPMSCRIOHACHA,40,0
JAILNAME_EPAMSCASCOMBITA,40,0
JAILNAME_EPMSCMAGANGUE,40,0
