x,y,cluster
50.32381,1.9626932,1
-26.879898,-34.107,3
30.30197,17.441584,4
-6.9468646,1.3947834,2
7.127753,-27.807003,3
-14.428676,11.07607,4
-40.220985,-23.13199,3
-17.29955,42.03942,4
-5.1889086,23.735748,2
18.520039,-0.4826323,3
45.11385,8.246464,1
-47.102333,-6.4066553,3
-4.2810707,-38.045044,2
7.637278,-7.490745,4
-15.906894,43.621838,4
35.372746,28.910376,4
40.0322,7.0041966,1
-19.847855,15.141404,2
40.815212,11.910728,4
16.328098,4.574721,4
16.088617,0.33556148,1
1.4181015,49.634274,1
27.520123,-21.47201,3
-36.35299,16.953932,4
-20.436329,-3.576127,4
-1.6340781,-5.750889,3
-37.82529,6.0909557,1
17.163399,45.239788,1
26.326607,-16.688503,1
-6.5217104,28.546127,4
3.8211546,-22.354788,4
-14.33676,6.793579,3
-27.26331,-1.7977701,4
33.59754,29.217228,4
-15.342963,23.757174,3
-15.762533,34.23874,4
-8.486799,3.9968722,3
19.799488,-7.692535,3
-0.73449606,2.2525237,3
3.5902066,6.7458677,3
23.0421,-27.663332,2
-2.877041,28.221518,3
8.522294,19.437996,4
-3.2969522,-22.79082,0
26.207747,6.5434833,4
-23.19496,-37.048645,3
-32.954136,-28.666758,2
39.869072,19.795267,3
-16.02226,-8.79416,3
-15.589499,-9.287512,3
-21.195621,-21.393614,3
3.4729207,-21.198242,4
12.462745,-16.624804,4
-12.60064,-38.711727,0
-15.317254,35.562122,2
7.642965,-30.698048,4
-25.631617,-1.6445832,4
-23.983608,-37.708298,1
-43.26225,9.988552,4
-41.22437,6.063755,4
11.388442,-27.215256,4
-25.327108,-2.7376485,4
26.308432,31.355103,4
7.726857,-47.551502,3
45.49093,-3.1167023,4
-16.486721,-15.782893,4
11.914596,-19.900475,4
7.3876424,18.513834,1
43.90266,-3.1937587,2
0.75658333,-23.927856,4
-18.89976,-12.119607,3
-25.626621,12.967112,4
6.4254417,-9.641184,4
47.05168,-22.23061,1
-11.800177,10.501585,4
-15.428562,44.537495,4
-11.989567,-0.45959598,4
26.659155,36.656548,3
-11.032097,10.4960785,4
-3.376068,10.771776,3
8.384177,16.771414,1
-27.251993,-1.8102523,1
-34.334785,4.796065,1
-2.6313756,-1.0348657,3
-40.795918,17.266678,0
-26.532158,-32.850204,1
43.18997,14.538173,4
-5.261155,-40.776897,3
-5.7319474,-31.374546,3
23.849373,19.312672,4
-10.89617,32.844437,4
-25.717342,-20.426228,3
-27.63699,10.930816,3
-45.348366,-7.094539,3
-1.2666554,-13.356536,3
-9.337127,0.06163265,4
10.198039,-45.412758,0
12.636787,-39.308716,3
40.460598,-11.784581,4
6.1760845,-48.69272,4
4.501072,6.780244,3
-9.026583,-2.1778755,0
-29.438227,36.565983,2
34.161724,29.309223,4
32.609768,-12.9692135,1
-9.997665,-28.473015,3
