Year;Capacity;Population
1991;28.319;29.355
1992;28.294;27.016
1993;28.084;28.260
1994;;29.338
1995;;31.960
1996;28.332;38.063
1997;29.239;41.405
1998;33.009;43.259
1999;33.090;46.322
2000;35.969;49.816
2001;40.037;52.181
2002;44.373;51.276
2003;46.399;58.894
2004;48.916;66.474
2005;49.763;69.365
2006;52.115;62.906
2007;52.504;61.543
2008;53.784;67.812
2009;55.019;74.277
2010;61.100;81.095
2011;73.451;94.267
2012;75.679;109.822
2013;75.797;117.987
2014;76.677;117.731
2015;78.420;120.444
2016;79.211;118.532
2017;80.227;114.750
2018;80.260;118.513
2019;80.156;118.769
